Date,Close,Date,Close,Date,Close,Total Returns
3/2/2015 16:00:00,569.78,3/2/2015 16:00:00,385.66,3/2/2015 16:00:00,32.27,987.71
3/3/2015 16:00:00,572.07,3/3/2015 16:00:00,384.61,3/3/2015 16:00:00,32.34,989.02
3/4/2015 16:00:00,571.8,3/4/2015 16:00:00,382.72,3/4/2015 16:00:00,32.14,986.66
3/5/2015 16:00:00,573.76,3/5/2015 16:00:00,387.83,3/5/2015 16:00:00,31.6,993.19
3/6/2015 16:00:00,566.13,3/6/2015 16:00:00,380.09,3/6/2015 16:00:00,31.65,977.87
3/9/2015 16:00:00,567.29,3/9/2015 16:00:00,378.56,3/9/2015 16:00:00,31.79,977.64
3/10/2015 16:00:00,553.49,3/10/2015 16:00:00,369.51,3/10/2015 16:00:00,31.13,954.13
3/11/2015 16:00:00,549.67,3/11/2015 16:00:00,366.37,3/11/2015 16:00:00,30.56,946.6
3/12/2015 16:00:00,553.99,3/12/2015 16:00:00,374.24,3/12/2015 16:00:00,31.11,959.34
3/13/2015 16:00:00,545.82,3/13/2015 16:00:00,370.58,3/13/2015 16:00:00,30.9,947.3
3/16/2015 16:00:00,552.99,3/16/2015 16:00:00,373.35,3/16/2015 16:00:00,31.24,957.58
3/17/2015 16:00:00,549.33,3/17/2015 16:00:00,371.92,3/17/2015 16:00:00,31.76,953.01
3/18/2015 16:00:00,557.97,3/18/2015 16:00:00,375.14,3/18/2015 16:00:00,32.12,965.23
3/19/2015 16:00:00,556.46,3/19/2015 16:00:00,373.24,3/19/2015 16:00:00,31.87,961.57
3/20/2015 16:00:00,558.83,3/20/2015 16:00:00,378.49,3/20/2015 16:00:00,31.48,968.8
3/23/2015 16:00:00,557.28,3/23/2015 16:00:00,375.11,3/23/2015 16:00:00,31.8,964.19
3/24/2015 16:00:00,568.63,3/24/2015 16:00:00,374.09,3/24/2015 16:00:00,31.67,974.39
3/25/2015 16:00:00,557.26,3/25/2015 16:00:00,370.96,3/25/2015 16:00:00,30.85,959.07
3/26/2015 16:00:00,553.65,3/26/2015 16:00:00,367.35,3/26/2015 16:00:00,31.06,952.06
3/27/2015 16:00:00,546.84,3/27/2015 16:00:00,370.56,3/27/2015 16:00:00,30.81,948.21
3/30/2015 16:00:00,550.52,3/30/2015 16:00:00,374.59,3/30/2015 16:00:00,31.59,956.7
3/31/2015 16:00:00,546.5,3/31/2015 16:00:00,372.1,3/31/2015 16:00:00,31.11,949.71
4/1/2015 16:00:00,541.07,4/1/2015 16:00:00,370.26,4/1/2015 16:00:00,31.06,942.39
